Mon May  3 17:11:59 2021    C:\Users\piyus\AppData\Local\Programs\Python\Python38\output.prof

         193221 function calls (189531 primitive calls) in 0.593 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\core\formatters.py:374(lookup)
       11    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\core\formatters.py:397(lookup_by_type)
       30    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\core\formatters.py:550(_in_deferred_types)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\core\formatters.py:689(__call__)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\core\formatters.py:824(_check_return)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\core\formatters.py:903(__call__)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\core\formatters.py:940(_check_return)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\core\formatters.py:949(__call__)
        9    0.000    0.000    0.400    0.044 <decorator-gen-2>:1(__call__)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(__call__)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(__call__)
        1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(__call__)
      310    0.001    0.000    0.002    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\matplotlib\colors.py:124(_is_nth_color)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\matplotlib\colors.py:197(_to_rgba_no_colorcycle)
      310    0.001    0.000    0.003    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\matplotlib\colors.py:161(to_rgba)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\matplotlib\colors.py:341(<listcomp>)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\matplotlib\colors.py:281(to_rgba_array)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\matplotlib\colors.py:962(__init__)
       12    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\cycler.py:138(keys)
        1    0.000    0.000    0.400    0.400 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\core\pylabtools.py:97(print_figure)
        1    0.000    0.000    0.400    0.400 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\core\pylabtools.py:248(<lambda>)
        5    0.001    0.000    0.001    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\zmq\sugar\socket.py:357(send)
        4    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\zmq\utils\jsonapi.py:31(dumps)
        5    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\ipykernel\iostream.py:93(_event_pipe)
        5    0.000    0.000    0.002    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\ipykernel\iostream.py:197(schedule)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\ipykernel\iostream.py:209(send_multipart)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\ipykernel\iostream.py:262(send_multipart)
        2    0.000    0.000    0.001    0.001 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\ipykernel\iostream.py:337(flush)
        4    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\jupyter_client\session.py:81(<lambda>)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\jupyter_client\session.py:148(utcnow)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\jupyter_client\session.py:217(msg_header)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\jupyter_client\session.py:223(extract_header)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\jupyter_client\session.py:511(msg_id)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\jupyter_client\session.py:564(msg_header)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\jupyter_client\session.py:567(msg)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\jupyter_client\session.py:586(sign)
        1    0.000    0.000    0.001    0.001 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\jupyter_client\session.py:601(serialize)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\jupyter_client\session.py:742(<listcomp>)
        1    0.000    0.000    0.001    0.001 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\jupyter_client\session.py:660(send)
        4    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\hmac.py:94(update)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\hmac.py:98(copy)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\hmac.py:111(_current)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\hmac.py:130(hexdigest)
        2    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\jupyter_client\jsonutil.py:31(_ensure_tzinfo)
        2    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\jupyter_client\jsonutil.py:84(date_default)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\ipykernel\jsonutil.py:49(encode_images)
      7/1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\ipykernel\jsonutil.py:109(json_clean)
        1    0.000    0.000    0.001    0.001 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\ipykernel\zmqshell.py:77(_flush_streams)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\ipykernel\zmqshell.py:87(_hooks)
        1    0.000    0.000    0.003    0.003 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\ipykernel\zmqshell.py:94(publish)
       81    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\multiarray.py:143(concatenate)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\multiarray.py:634(result_type)
      340    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\multiarray.py:706(dot)
